,Country,ISO3,Specie,Breed/Most common name,Language,Description,Transboundary name,Other name,Provision Uses,Regulation and Maintenance Uses,Cultural Uses,Description Of Specific Uses,Production environment/management systems,Literature related to uses and ecosystem services,Additional information,Additional information comments,Efabis cultural role comment,Efabis cultural value,Adaptability to specific environment,Specific resistance or tolerance,Specific reproductive characteristic,Special characteristic of product,Other special qualities,Reference for special qualities,Efabis genetic features,Efabis environmental role,Efabis adaptability to marginal land,Body conformation,Coat description,Coat quality,Comb type,Skin colour,Shank and foot colour,Plumage colour,Pattern within feather,Avian classification,Color comments,Efabis main colour,Efabis skin colour,Number of horns males,Number of horns females,Horn shape size and comments,Wither height males,Wither height females,Weight males,Weight females,Breed classification (adaptedness),Herdbook,Herdbook established,Domestication status,Taxonomic classification,Description of origin,Year of origin,Import,Location within country,Eggs per year AVG,Eggs per year MIN,Eggs per year MAX,Egg weight,Wool or hair,Wool type,Fleece weight AVG,Fleece weight MIN,Fleece weight MAX,Fibre diam,Management system,Feeding of adults,Mobility,Milk per year AVG,Milk per year MIN,Milk per year MAX,Lactation length (day) AVG,Lactation length (day) MIN,Lactation length (day) MAX,Milk yield per lactation (kg) AVG,Milk yield per lactation (kg) MIN,Milk yield per lactation (kg) MAX,Milk fat AVG (%),Milk fat MIN (%),Milk fat MAX (%),Milk per day (kg),Number of lactations,Efabis milk protein AVG,Efabis milk protein MIN,Efabis milk protein MAX,Birth weight males,Birth weight females,Age maturity males,Age maturity females,Age breeding males,Age breeding females,Age first parturition (month) AVG,Age first parturition (month) MIN,Age first parturition (month) MAX,Parturition interval (day) AVG,Parturition interval (day) MIN,Parturition interval (day) MAX,Length productive life (years),Daily gain,Carcass weight (kg),Dressing percentage (%),Performance data reference,Managment conditions performance measured,Comments managment conditions,Additional performance parameters,Litter size AVG,Litter size MIN,Litter size MAX,Geographical classification,Local cryo conservation status,Local Risk,Detailed local risk status,Regional Transboundary Risk (detailed),International Transboundary Risk (detailed),Young per year AVG (number),Adult weight AVG (kg),Adult weight AVG (g),Birth weight AVG (kg),Birth weight AVG (g),Young mass per year AVG (kg),Young mass per year AVG (g)
10073,Malaysia,MYS,Cattle,Burmese Gaur,eng.,,Burmese Gaur,"Pyaung, Pyoung, Pyun, Burmese Bison",,,,,,,,,,,The animals are reported to have a high tolerance to bad climate and tough tropical conditions (wet and hot). They can live on high lands with a slope of 50 to 60 degrees and at altitudes of 1 500 m asl.,,,"These animals produce good, tasty meat and leather of good quality. ",The Burmese Gaur is the third largest animal after the rhino and elephant. It feeds mainly on natural grasses and leaves from trees.,FAO Breed Survey,,,,,,,,,,,,,,,,2,2,,,,950.0,750.0,,,,feral,variety,"The Gaur is the largest of the Asiatic bovids. Two subspecies are recognised, B. g.gaurus (India, Nepal) and B. g. laosiensis (Myanmar, Thailand, Laos, Vietnam, Cambodia and West Malaysia).",,,West Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The animals move in small groups over a large area and so they cause little damage to agriculture and forestry.,,,,,regional,No Material,unknown,unknown,unknown,,,850.0,850000.0,,,,
10078,Malaysia,MYS,Cattle,Holstein Friesian,eng.,,Holstein (black and white),,"Meat, Milk",,,,,,Individual cows need to be better housed and fed as compared to indigenous cattle breeds.,"Currently, some entrepreneurs are farming Holstein Friesian cattle under environmentally-controlled housing.",,,"This breed needs high-input, shaded environment.",This breed exhibits less tolerance to tropical diseases and needs to be better managed and fed as compared to indigenous breeds.,Heat stress can depress reproductive performance. Hence heat stress needs to be reduced using better housing.,High milk yield. ,,,,,,,,,,,,,,,,,,0,0,,140.0,135.0,550.0,500.0,,,,domestic,breed,"Imported mainly from Australia, New Zealand, United States of America (semen) and Canada (Semen).",1970's,"Since 1970's, live Friesian cattle from Australia. Since 1970's, frozen Holstein semen from Canada. Since 1990's, frozen Holstein semen from the United States.","Mainly in states of Melaka, Kedah and Perak.",,,,,,,,,,,semi - intensive,"concentrate, fodder, grazing",stationary,,,,270.0,,,2171.0,1200.0,3140.0,3.8,,,8.0,5.0,,,,27.0,26.0,18.0,18.0,39.0,60.0,29.7,26.0,36.0,450.0,388.0,530.0,8.5,0.45,175.0,35.0,"Cameons J.K. (1979). Holsteins and holstein crosses. Malayan Agricultural Journal 51:204-216. Sivarajasingam S., Yusof S., Ngah M., Sivasubramaniam G., Abas M. O. and Eusof J. (1982). Proc. 6th Annual Conference of the Malaysian Society of Animal Production, 10-11th August 1982, Genting Highlands, Malaysia.",Medium input production system.,Ambient temperature ranged from 24 to 34 degrees C. Relative humidity about 80-85%. Animals grazed on pasture. Concentrate feeding before milking under sheds. Good SPS management.,Nil.,1.0,1.0,2.0,international,Not Sufficient,unknown,unknown,,notAtRisk,0.8111111111111111,525.0,525000.0,26.5,26500.0,21.494444444444444,21494.444444444445
10079,Malaysia,MYS,Cattle,Kedah-Kelantan,bahasa mal.,,,KK,Meat,,,,,,,,,,This breed is very well adapted to the Malaysian environment.,The animals of this breed are reported to show a high degree of disease resistance.,The breed shows a high fertility., ,,,,,,,,,,,,,,,"uni coloured: usually red or reddish-dun <br>multi coloured: red, brown",,,2,2,,102.0,96.0,250.0,200.0,,,,domestic,breed,indigenous breed cattle. Descended from Thai.,,,"northern, eastern and central part of Peninsula Malaysia",,,,,,,,,,,,,,,,,,,240.0,642.0,190.0,642.0,3.5,,,,,,,,16.0,15.0,,,,,,,,360.0,,,,300.0,,50.0,FAO Breed Survey F41-34 Md. Arief Omar (1982) Heritability estimates of birth weight of Kedah-Kelantan cattle MARDI Res. Bulletin 9(2): 92-99.,Performance data were collected from animals kept under research station conditions. They were grazed on pasture at a grazing rate of 2-4 animal units/ha.,,,,,,local,Not Sufficient,notAtRisk,notAtRisk,,,,225.0,225000.0,15.5,15500.0,,
10080,Malaysia,MYS,Cattle,Local Indian Dairy,eng.,Nondescript composite of breeds derived from the Indian continent,Nil,LID,"Meat, Milk",,,Mainly use for fresh milk production. Meat is from males and spent females.,,,The population of pure Local Indian Dairy is decreasing due to its very poor milk production compared to Dairy Crossbred cattle.,Most of the Local Indian Dairy population has been crossbred with temperate breeds using artificial insemination.,,,Very adaptable to the Malaysian (hot-humid) climate and can live on poor quality forages.,The animals of this breed are reported to show a high degree of resistance against tick borne and parasitic diseases.,The breed is reasonably fertile and has good mothering abilities.,Very high milk fat (4.5 - 4.8%). ,Animals have poor temperament and poor dairy character.,"Rajagobal K.M. (1969). A comparative study of the performance of temperate crossbred and the Local Indian Dairy - type cattle. Kajian Veterinaire, Malaysia-Singapore, 2 (2), 76-82.",,,,,,,,,,,,,"uni coloured or multi coloured: white, grey, brown or a mixture of these",,,2,2,"Animals have horns with pointed tips, usually curved outwards and upwards",135.0,108.0,398.0,330.0,,n,,domestic,breed,"The LID breed is of mixed ancestry. Indian migrants brought Hallikar, Ongole and Kankrej from South India during the early part of the 20th century. The random intercrossing of these breeds has resulted in the LID breed.",1880,Mixture of zebu breeds imported from Southern India since 1880.,LID cattle are found mainly in the western part of Peninsula Malaysia.,,,,,,,,,,,extensive (non backyard),"farm-household by-products, grazing",stationary,,,,230.0,,,900.0,454.0,1135.0,4.6,,,3.9,8.0,,,,20.8,19.4,24.0,30.0,54.0,60.0,48.0,,,408.0,,,8.0,450.0,133.0,38.0,"FAO Breed Survey Sivarajasingam S., Mukherjee T.K. (1975) Heritability estimates of milk yield and birth weight in tropical dairy cattle breeds in Malaysia. Trop. Agric. (Trinidad) 52: 223-228. Sivarajasingam S., Mukherjee T.K., Djafar I. (1974) The genetic performance of Local Indian Dairy cattle and its crossbreds. SABRAO J. 6: 39-45.","LID cattle are normally grazed in tree crop plantations during the day. At night they are mostly kept in stalls. They are milked twice, once in the morning and once in the evening.",LID cattle are normally grazed in tree crop plantations. They are stall-fed at night. Feed supplementation is minimal.,Average Services Per Conception (on AI) = 2.1,1.0,1.0,2.0,local,No Material,atRisk,endangered,,,0.8946078431372548,364.0,364000.0,20.1,20100.0,17.981617647058822,17981.61764705882
10081,Malaysia,MYS,Cattle,Mafriwal,bahasa mal.,Synthetic dairy-beef breed derived from superior Holstein and Zebu inheritance,Malaysian Friesian Sahiwal,Malaysian Friesian Sahiwal,"Meat, Milk",,,Bred for economic production. Diet composed largely of local feedstuff.,,,,,,,The population is bred for its adaptability to hot and humid environment and tropical based feed stuffs.,Mafriwal are raised on government farms under strictest disease control.,The reproductive performance is 20% higher than 75% Holstein cross-breds but 5% less than the F1 crosses.,The breed has been created for economic milk and beef production in the tropics. ,The breed is adapted to be milked by machine.,,,,,,,,,,,,,,comments: most animals are black or black and white.,,,2,2,curled upwards,150.0,132.0,550.0,450.0,,y,1986,domestic,breed,Mafriwal are a composite of 62.5% Holstein (North America) and 37.5% Zebu. The Zebu component is mainly composed of improved Kenyan Sahiwal or Brazilian Gir. The Minister of Agriculture of Malaysia declared Mafriwal a breed on 30 August 1997.,1980,,"Mafriwal cattle are located in three Departments of Veterinary Service Farms in the state of Johore. These government farms are the Institute Haiwan, Air Hitam and Padang Hijau.",,,,,,,,,,,"back yard or farm yard production, intensive, semi - intensive","agro-industrial by-products, concentrate, fodder",stationary,2268.0,,,260.0,,480.0,2337.0,,4897.0,3.8,3.2,4.0,9.0,8.0,,,,30.0,28.0,20.0,24.0,24.0,30.0,42.0,27.0,60.0,420.0,360.0,480.0,10.0,480.0,133.0,38.0,CHEAH P.F. and KUMAR R.A. (1984). Preliminary observations on the performance of Sahiwal x Bos taurus dairy cattle. Malaysian Veterinary Journal 16(1): 1-7.,Performance data were obtained from animals kept under semi-intensive conditions. The animals have been grazing and received additional concentrate feeding (approx. 3 kg/day).,The cows are grazing 18-20 hours per day on pasture and brought in for milking in the early morning and late afternoon. Fodder and concentrate are given only during milking.,Good adaptability to tropical environment.,1.0,1.0,1.0,local,Not Sufficient,notAtRisk,notAtRisk,,,0.8690476190476191,500.0,500000.0,29.0,29000.0,25.202380952380953,25202.380952380954
10083,Malaysia,MYS,Cattle,Nelore,eng.,Brazilian import. Name appears to indicate origin from the Nellore district of Andhra Pradesh in India.,Nelore,"Ongole, Nellore","GeneralCrossbreeding, Meat, SireLine",,,"Mainly used as a meat breed. In integration projects (cattle in oil palm plantations), the Nelore is often used as as sire breed. It is also used in crossbreeding due to its adaptability to the tropical environment.",,,Imported for meat production and tropical adaptability.,"Nucleus herd had 1,237 head of purebred Nelore cattle in year 2008.",,,Adapted to hot and humid tropical climate.,Good tolerance to ticks and tropical diseases.,Satisfactory reproductive performance.,Meat of reasonable quality. ,Highly adaptable to equatorial environment.,,,,,,,,,,,,,,"uni color: white, gray",,,2,2,"Short horns, growing outwards and inwards.",160.0,150.0,450.0,400.0,,n,,domestic,breed,imported; exotic,1993,Imported from Brazil in early 1990's,Nucleus herd at the Ulu Lepar Federal Livestock Center in Pahang state. Found in tree-crop integration areas in Malaysia.,,,,,,,,,,,semi - intensive,"agro-industrial by-products, concentrate, grazing",stationary,,,,250.0,50.0,320.0,1500.0,50.0,2000.0,4.0,3.5,4.5,6.0,5.0,,,,30.0,28.0,18.0,18.0,48.0,48.0,30.0,26.0,40.0,420.0,360.0,520.0,4.0,500.0,160.0,35.0,,Medium input production system,Grazing on pasture with a little supplementation using concentrates.,On feedlot able to grow in excess of 700 g/day.,1.0,1.0,2.0,international,Not Sufficient,atRisk,endangeredMaintained,,notAtRisk,0.8690476190476191,425.0,425000.0,29.0,29000.0,25.202380952380953,25202.380952380954
10084,Malaysia,MYS,Cattle,Sahiwal,eng.,"Originating from India/Pakistan - large numbers in Central and Southern areas of Pakistan, and in Punjab/Bihar/Uttar Pradesh in India.",Sahiwal,"Montgomery, Lola, Multani, Teli, Lambi Bar","Meat, Milk",,,"Sahiwal mainly a milch breed. When no more useful for milk production, animals are slaughtered for meat production.",,,No pure Sahiwal herd exists.,"In the 1950's and 1960's, the Sahiwal was used in crossbreeding with local breeds. Subsequently it was used as a foundation breed in the development of the Mafriwal.",,,Adapted to tropical environment.,The animals are reported to show resistance to tick borne diseases.,Satisfactory breeder.,This is an excellent zebu dairy breed. ,"Excellent in crossbreeding with temperate breeds such as the Holstein, to produce a tropically well-adapted yet high producing dairy animal.",CHEAH P.F. and KUMAR R.A. (1984). Preliminary observations on the performance of Sahiwal x Bos taurus dairy cattle. Malaysian Veterinary Journal 16(1): 1-7.,,,,,,,,,,,,,Red or light red in color. Some animals with patches of white.,,,2,2,"Short, thick and blunt, curving upwards, forwards and inwards.",136.0,120.0,430.0,350.0,,n,,domestic,breed,Imported from Pakistan and India in 1900 - 1930: to date no pure-bred animals exist; Semen imported from Kenya - Kenyan Sahiwal in mid 1980's.,1900,Imported since 1900 from Sahiwal breed of Pakistan and India. Imported in 2 shipments from 1985 (approximately) from Sahiwal breed of Kenya.,"Used as a foundation breed in the development of the Malaysian Friesian Sahiwal (Mafriwal) cattle breed. Nucleus herd of Mafriwal in Kluang, Johore. Other Mafriwal animals distributed throughout Peninsular Malaysia.",,,,,,,,,,,semi - intensive,"agro-industrial by-products, concentrate, fodder",stationary,,,,260.0,,,1300.0,,,4.5,,,5.0,8.0,,,,23.2,21.3,24.0,28.0,54.0,62.0,44.0,,,460.0,,,8.0,500.0,140.0,35.0,N2-56 N3-60 F66-49 FAO Breed Survey,Medium input production system.,Grazing with a little concentrate feeding.,,1.0,1.0,2.0,international,Not Sufficient,unknown,unknown,,notAtRisk,0.7934782608695653,390.0,390000.0,22.25,22250.0,17.654891304347828,17654.891304347828
10085,Malaysia,MYS,Cattle,Seladang,bahasa mal.,Belongs to the family Bovidae in the order Artiodactyla.,Gaur,"Bos gaurus hubackii, Malayan Gaur, Malayan Bison",,,,Seladang is considered wildlife and has great touristic potential due to its large size and beauty.,,,The lifespan of the gaur in captivity ranges between 17 - 19 years.,"The reintroduction of gaur into the wild by the Department of Wildlife and National Parks Malaysia follows the Guidelines for Reintroductions prepared by Species Survival Commission of the IUCN. The primary objective of this reintroduction is to re-establish, enhance and increase the long-term survival of a viable, self sustaining gaur population in the wild.",,,,The animals of this breed are reported to show a high degree of disease resistance.,, ,,,,,,,,,,,,,,,Dark brown coat.,,,2,2,Medium sized curved horns. Horns curved upwards and backwards.,180.0,150.0,900.0,600.0,,,,wild,variety,"Bos (Bibos) gaurus hubbacki (Lydekker), variety of Gaur",,,Mainly in primary forest of Malay Peninsula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,45.0,,,,,,,,,,,,,,,FAO Breed Survey Momin Khan M.K. (1977) The future of Seladang. Nature Malaysia 2; 22-27. Momin Khan M.K. (1973) Studies on the Seledang (Bos gaurus) in the State of Perak. Malaysian Nature Journal 26; 163-167.,"Performance data were measured on animals kept under stationary conditions, housed and fed on fodder (in captivity).",The animals raised in captivity are kept confined to an intensive management system and are given cut fodder.,"When Seladang males are mated with female cattle (Bos taurus x Bos indicus crosses), the offspring have massive musculature in the forequarters. Hybrid bulls weigh 600 - 1 000 kg and are 1.4 to 1.7 m tall. Hybrid cows are slightly shorter and about 200 - 300 kg lighter as compared to their male sibs.",,,,local,No Material,unknown,unknown,,,,750.0,750000.0,47.5,47500.0,,
10086,Malaysia,MYS,Chicken,Ayam Kampong,bahasa mal.,Ayam Kampong means village chicken.,Kampong,"Gallus domesticus, Native Chicken of Malaysia","Eggs, Meat",,,Niche market for village chicken - supposedly for better taste as compared to commercial chickens.,,,,,,,These chicken are highly adapted to hot and humid climate.,"The breed is reported to be resistant against Coccidiosis, IBD and Marek's disease.",The breed is reported to be highly prolific.,The meat is appreciated for its good flavour. ,,,,,,,,,,yellow,,red and black,,indigenous,"A common variety is the black-red kampong chicken which has mainly black and red or reddish-brown plumage. The tail feathers of the male are glossy black. The hackle, saddle, back and wing bow are a of rich red colour, while the remaining plumage is black or green-black. The female plumage is a blending of red-brown and black. The comb can be rose, pea, walnut or buttercup. Wattles are red in color and are of the double type. Ear lobes are red or a blending of red and white. The shank may be black, white or yellow in color.",,,,,,,,1.5,1.3,,,,domestic,strain,"There are three varieties: the black-red kampong chicken, the red kampong chicken and the less common naked-neck kampong chicken.",Indigenous chicken,Indigenous chicken,Peninsular Malaysia,100.0,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25,,,,,,,12.0,0.94,72.0,Syed Hussein Syed Abdullah (2008). Personal communication.,Under open-house litter system; given commercial feed suited to Ayam Kampong;,Performance measured at a government poultry center.,market age 14-16 weeks; market weight 1.0-1.5 kg; market price RM9.00 per kg; FCR 4-4.5; total eggs 100 per year; mortality 4.8%;,,,,local,No Material,unknown,unknown,,,,1.4,1400.0,,,,
10087,Malaysia,MYS,Deer,Sambar,,,Sambar deer (Cervus unicolor),"Cervus unicolor brookei, Cervus unicolor equinus",Meat,,,,,,,Hunting activities and the clearing of forests for development purposes have been the main threats to the conservation of the Sambar deer in the wild. The exploitation of this deer through commercial farming has provided an avenue for conserving and preserving live animals in various localities within Malaysia.,,,Sambar deer are well adapted to a hot and humid environment.,The breed is reported to be resistant against ticks and other parasitic diseases such as Haemonchus. The animals are however noted to be susceptible to Meliodiosis.,The breed shows a good fertility.,This breed produces a large carcass with a quality venison. Velvet may be harvested and sold at high prices. ,,,,,,,,,,,,,,,"uni coloured: light to dark brown <br>comment: new born animals have a bright strip on the underside and have several white spots on the flanks which disappear when the animals achieve the age of 5-6 months. Sambar have a yellowish tinge under the chin, inside the limbs, between the buttocks and underneath the tail.",,,0,0,,145.0,130.0,320.0,300.0,,n,,domestic,breed,indigenous breed,,,Cervus unicolor equinus is found in Peninsula Malaysia. Cervus unicolor brookei is found in East Malaysia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Animals are grazed in commercial farms/parks.,,,,,international,No Material,unknown,unknown,,unknown,,310.0,310000.0,,,,
10089,Malaysia,MYS,Duck,Khaki Campbell (layer),_,,Khaki Campbell,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,2.5,2.0,,,,domestic,,imported from United Kingdom,,,,,250.0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,,,,,,,,,,,,,,,,- egg weight: 75g;<br> - incubation period: 28 days;<br>,,,,international,No Material,unknown,unknown,,unknown,,2.25,2250.0,,,,
10091,Malaysia,MYS,Duck,Peking Duck,,,Pekin,Anas platyrhynchos,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,3.7,3.0,,,,domestic,breed,originated from China; imported from France and United Kingdom,,,,,180.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.5,,,,,,,,,,,,,,,,- egg weight: 80g;<br> - broiler weight with 53 days: male;<br> 3.5 kg;<br> female: 3.3 kg;<br>,,,,international,No Material,unknown,unknown,,notAtRisk,,3.35,3350.0,,,,
10092,Malaysia,MYS,Muscovy Duck,Serati,Bahasa Mal.,,,Nila,"Eggs, Meat",,,,,,,,,,Well adapted. Also found in the wild.,Known to be tolerant to various bird diseases.,Highly prolific.,Large carcass. ,,,,,,,,,,,,,,,,,,,,,18.0,16.0,5.5,3.5,,n,,feral,variety,indigenous breed variety,,,Peninsula Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Usually kept in ponds. Also found in the wild.,,,,,local,No Material,unknown,unknown,,,,4.5,4500.0,,,,
10093,Malaysia,MYS,Goat,Alpine,Eng.,Goat breed originating from the Alps.,Alpine,,"Meat, Milk, SkinsHides",,,Predominantly a dairy goat (producing milk). Meat and skins are secondary products.,,,Animals were imported for evaluation under Malaysian conditions.,Population is the smallest for temperate dairy goat breeds found in Malaysia.,,,Adapted to the cold Alps region of Europe; may not be very adaptable in the tropics.,Moderate resistance to diseases.,Moderate reproductive performance.,"Valued for reasonably high milk production, and then for its meat. ",None.,Devendra C. and McLeroy G.B. (1982). Goat and sheep production in the tropics. Longman. 271pp. ISBN 0-582-60935-6.,,,,,,,,,,,,,"Color from black, tan and white with considerable variation;",,,0/2,0/2,"Animals could be horned or polled. When present, horns are scimitar shaped.",85.0,75.0,65.0,60.0,,n,,domestic,breed,"imported, exotic, recently introduced breed; originated from the French and Swiss Alps region.",1975?,1975?,Small pockets in Peninsula and East Malaysia,,,,,hair,,,,,,semi - intensive,"concentrate, grazing",stationary,,,,209.0,180.0,230.0,274.0,200.0,300.0,3.6,3.2,3.8,1.1,8.0,,,,3.6,3.3,10.0,8.0,12.0,10.0,16.0,15.0,20.0,365.0,360.0,400.0,8.0,94.0,12.6,48.0,Devendra C. and McLeroy G.B. (1982). Goat and sheep production in the tropics. Longman. 271pp. ISBN 0-582-60935-6.,On farm,Semi-intensive management system.,Gestation period of about 150 days.,1.0,1.0,2.0,international,No Material,unknown,unknown,,notAtRisk,1.0,62.5,62500.0,3.45,3450.0,3.45,3450.0
10094,Malaysia,MYS,Goat,Anglo-Nubian,eng.,"Breed developed in Great Britain of native stock and goats from India, the Middle East and North Africa, hence the name Anglo (a prefix to indicate a relation to the Angles, England) and Nubian (of a region along the Nile).",Anglo-Nubian,Nubians,"Meat, Milk",,,"Has been called the ""Jersey"" of goat breeds due to it producing milk with high butterfat content (4 - 5%). A dual-purpose milk-meat breed.",,,A recently introduced breed which is often used as a sire line in crossbreeding; population is stable with importation to maintain breeding stock;,Still a popular breed because of its productivity (dairy - meat) and adaptability.,,,Very hardy in the tropical environment due to the tropical blood in its genetic make up;,Tolerant to several tropical diseases.,Quite a good breeder.,Milk with high butterfat (4.5%) ,"Dual-purpose, milk and meat.",Devendra C. and McLeroy G.B. (1982). Goat and sheep production in the tropics. Longman. 271pp. ISBN 0 582 60935 6.,,,,,,,,,,,,,multi-colored: white to black or red or tan or a combination of these;,,,0/2,0/2,"When present, horns lie flat over the coat;",90.0,80.0,70.0,60.0,,,,domestic,breed,imported; exotic recently introduced breed;,1970?,"Import since 1970 from Anglo-Nubian from Switzerland, Australia, etc.",Some farms in Malaysia but particularly used in Malacca and Terengganu states.,,,,,hair,,,,,,semi - intensive,"concentrate, fodder",stationary,,,,280.0,250.0,310.0,280.0,250.0,300.0,4.5,4.2,4.8,1.0,6.0,,,,3.6,3.4,6.0,5.0,9.0,8.0,16.0,14.0,20.0,480.0,300.0,520.0,8.0,110.0,15.0,45.0,Devendra C. and McLeroy G.B. (1982). Goat and sheep production in the tropics. Longman. 271pp. ISBN 0 582 60935 6.,On government farms with fodder and concentrate feeding;,Semi-intensive management system;,Gestation period 153 days; litter size 1.43;,1.43,1.0,4.0,international,Not Sufficient,unknown,unknown,,notAtRisk,1.0873958333333333,65.0,65000.0,3.5,3500.0,3.8058854166666665,3805.8854166666665
10096,Malaysia,MYS,Goat,Boer,eng.,'Boer' means 'farmer' in the Dutch language. So 'Boer goat' would be translated Farmer's Goat.,Boer,"Kambing Boer, Africander, Afrikaner, South African common goat","Meat, SkinsHides",,,Predominantly raised for meat production.,,,Currently the most popular breed in Malaysia for use as breeder animals or in crossbreeding.,The population of Boer goats in Malaysia is increasing due to its popularity among farmers.,,,The breed can strive on rugged terrain and is very hardy,The breed is reported to be resistant against several diseases.,The breed is known for its fecundity and used in cross-breeding for fast growth and body size.,Tender meat used in special cuts. ,Claims that meat especially from bucks has less smell,Zulkilfi H. (2010). Personal communication.,,,,,,,,,,,,,uni color: white body with a red head,,,2,2,"short horns, curving gently backwards over neck;",78.0,70.0,85.0,55.0,,,,domestic,breed,originating from South Africa,2001,import since 2001 from Boer goat from South Africa & Australia,Distributed throughout Malaysia,,,,,hair,,,,,,semi - intensive,"farm-household by-products, grazing",stationary,,,,120.0,80.0,140.0,180.0,120.0,220.0,4.0,3.5,5.0,1.5,7.0,,,,4.0,3.0,6.0,7.0,33.0,45.0,18.0,15.0,24.0,350.0,320.0,380.0,8.0,200.0,18.0,52.0,http://www.mardi.my/ Devendra C. and McLeroy G.B. (1982). Goat and sheep production in the tropics. Longman. ISBN 0-582-60935-6.,Livestock farm,Feeding with forage and a little supplementation with concentrates; water given ad libitum;,Weaning weight of males = 20 - 30kg; Weaning weight of females = 15 - 25kg; Mature weight of males = 75 - 95 kg; Mature weight of females = 45 - 65 kg;,1.5,1.0,3.0,international,Not Sufficient,unknown,unknown,,notAtRisk,1.5642857142857143,70.0,70000.0,3.5,3500.0,5.475,5475.0
10098,Malaysia,MYS,Goat,Germasia,malay,,Jermasia,,Milk,,,,,,,,,,,,, ,,,,,,,,,,,,,,,uni coloured: dark red with black stripe on face and back,,,2,0/2,males: long curved horns,,,60.0,40.0,,,,domestic,breed,composite of German Fawn x local Kambing Kacang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,local,No Material,unknown,unknown,,,,50.0,50000.0,3.0,3000.0,,
10099,Malaysia,MYS,Goat,Jamnapari,ind.,"Same name as the Indian ""Jamnapari"". Means ""goat breed beyond the river Jamna"".",Jamnapari,"Jamunapari, Etawah","Meat, Milk",Fertilizer,ReligiousCeremonies,"Predominantly utilized for milk, meat and organic fertilizer production.",,,Jamnapari is used in purebred form for milk and meat production. It is used in crossbreeding to produce meat goats.,"Due to governmental intervention measures since 2000 to develop the goat industry, the population of Jamnapari goats has increased tremendously. They are valued particularly for meat, milk and organic fertilizer production",,,quite adapted to hot climate but can be stressed when humidity is high;,tolerance against tropical disease and parasites;,good reproductive performance when satisfactorily managed;,good yield of milk (2 kg/day); reasonable carcass meat yield ,Very suited for semi-intensive production system in Malaysia,,,,,,,,,,,,,,"uni color: white or yellowish tan comment: light brown spots on neck and face, sometimes with patches of black or tan on body",,,2,2,horns short and scimitar-shaped,85.0,75.0,70.0,65.0,,n,,domestic,breed,imported; exotic,1970's,since 1970's from India/Indonesia,Throughout the states of Malaysia,,,,,hair,,,,,,semi - intensive,"concentrate, fodder, grazing",stationary,,,,250.0,100.0,300.0,550.0,200.0,900.0,5.0,4.5,5.2,2.2,9.0,,,,4.5,3.5,,10.0,,,22.0,,,230.0,,,8.0,128.0,30.0,48.0,,Semi-intensive production system,Grazing with fodder and concentrate supplementation,Meat:bone ratio of 3.8:1,1.25,1.0,3.0,international,Not Sufficient,unknown,unknown,,notAtRisk,1.983695652173913,67.5,67500.0,4.0,4000.0,7.934782608695652,7934.782608695652
10101,Malaysia,MYS,Goat,Katjang,bahasa mal.,,Katjang,"Kambing Katjang, Kacang",Meat,,,Predominantly kept for meat. Pelts are side-products. Also kept as a form of savings and security.,,,An indigenous breed of Malaysia.,Small sized Malaysian breed.,,,The breed is hardy and well adapted to tropical environment.,The breed is reported to be resistant to parasitic infections.,This breed is known for prolificacy.,The meat of this breed is highly demanded and very expensive. ,The meat of males may have stronger odor.,,,,,,,,,,,,,,"uni coloured: black, brown <br>multi coloured: black and white pied",,,2,2,"scimitar shaped, curved upwards and backwards",65.0,56.0,25.0,20.0,,n,,domestic,breed,indigenous breed,,,Peninsula Malaysia and East Malaysia.,,,,,hair,,,,,,extensive (non backyard),"farm-household by-products, grazing",stationary,,,,180.0,5.0,200.0,54.0,30.0,60.0,4.6,4.0,5.0,0.4,6.0,,,,1.5,1.3,9.0,7.0,12.0,10.0,12.0,9.0,15.0,240.0,230.0,365.0,6.0,55.0,13.0,45.0,FAO Breed Survey F58-194,Performance data were collected from goats on trial kept in sheds with cut fodder and some concentrate feeding.,Animals usually graze during the day. They may be housed at night.,Meat is lean with little intra-muscular fat. Kid mortality can be high.,2.2,1.0,3.0,regional,Not Sufficient,unknown,unknown,notAtRisk,,3.3458333333333337,22.5,22500.0,1.4,1400.0,4.684166666666667,4684.166666666667
